fid;class;Landsat8_2024-07-23_1;Landsat8_2024-07-23_2;Landsat8_2024-07-23_3;Landsat8_2024-07-23_4;Landsat8_2024-07-23_5;Landsat8_2024-07-23_6;Landsat8_2024-07-23_7;NDVI;NDMI;NBR
26;1;7865;7952;8684;8372;17136;13929;10270;0.34357848518111966;0.10323515210043457;0.2505290812230898
27;1;8411;8596;9470;9688;18329;16726;12266;0.30841988792518826;0.04572814149194124;0.19816963556136624
28;1;8191;8336;9046;9000;17270;15032;11255;0.31480776551199086;0.06928363568819268;0.21086765994741455
29;1;8158;8277;9140;9000;18535;15408;11246;0.34628654439803885;0.0921250331437999;0.2447533662402203
30;1;7992;8229;9044;9124;17972;15812;11536;0.3265426631237083;0.0639355908122188;0.21811034295784193
31;1;8369;8593;9638;9879;18752;17707;12789;0.30990884006845726;0.028662333031624566;0.1890555150439111
32;1;8013;8187;8881;8784;17765;14831;10852;0.3382801612113451;0.0900110442999141;0.24156969633434672
33;1;8162;8333;9068;9046;17553;15040;11085;0.3198240535358472;0.07710244531034272;0.22585376073748167
34;1;8225;8411;9045;9177;17344;15206;11351;0.30794464763772106;0.06568356374807988;0.2088517163268862
35;1;8100;8269;9077;9117;17540;15298;11335;0.31597704167760815;0.06827455996102078;0.21489177489177488
36;1;8072;8240;9029;9033;17817;15117;11220;0.3271508379888268;0.08198214611040262;0.22719289182766814
37;1;7871;7909;8370;8172;15776;11846;9309;0.3175212961416402;0.1422778944319745;0.25780346820809247
38;1;7936;7978;8697;8282;17842;13248;9855;0.36594702189557493;0.14776455451913798;0.2883705816514424
39;1;8098;8222;9149;9031;19091;15888;11468;0.35772704644050923;0.0915692272506361;0.2494518799698943
40;1;7965;8109;8742;8697;16880;13902;10410;0.31993587989209055;0.09674485088688195;0.23708318065225356
41;1;8092;8277;9045;9072;17816;15391;11367;0.32520083308539127;0.07302677146384798;0.22098481992941096
42;1;8201;8382;9197;9252;18586;16372;11832;0.3352970759393635;0.06333314262829681;0.22203958182655006
43;1;7983;8146;8959;8974;17629;14798;11025;0.32533924745329473;0.0873037900515003;0.2304739303413136
44;1;8062;8199;9051;9025;18488;15533;11365;0.34394649801911825;0.08685811704535434;0.2386024855123438
45;1;8122;8271;9149;9065;18921;15626;11394;0.352176088044022;0.09537731206761803;0.24829292429490352
46;1;8068;8222;8983;8962;17992;15283;11205;0.3350152111003933;0.08141247182569497;0.23245538925232045
47;1;8082;8204;9027;9001;17804;15501;11328;0.3284088789404962;0.069148776459991;0.22229850336399834
